abu gosok
adu argumen
adu domba
air terjun
akal bulus
anak bawang
anak buah
anak emas
anak pungut
angkat besi
angkat bicara
angkat kaki
angkat tangan
angkat topi
aral melintang
batu api
babi buta
badan dua
banting tulang
banyak cakap
banyak mulut
batu api
berat hati
berat sebelah
besar hati
besar kecil
besar kepala
besar mulut
biang keladi
buah bibir
buah dada
buah pelir
buah tangan
buaya darat
bujuk rayu
buku biru
buku putih
buta hati
candak kulak
canda ceria
cantik jelita
cari muka
campur tangan
cerah ceria
cerdik cendekia 
cuci otak
cuci tangan
cumbu rayu
cerdik pandai
