abu gosok
adu argumen
adu domba
air terjun
akal bulus
anak bawang
anak buah
anak emas
anak pungut
angkat besi
angkat bicara
angkat kaki
angkat tangan
angkat topi
aral melintang

batu api
babi buta
badan dua
banting tulang
banyak cakap
banyak mulut
batu api
berat hati
berat sebelah
besar hati
besar kecil
besar kepala
besar mulut
biang keladi
buah bibir
buah dada
buah pelir
buah tangan
buaya darat
bujuk rayu
buku biru
buku putih
buta hati

candak kulak
canda ceria
cantik jelita
cari muka
campur tangan
cerah ceria
cerdik cendekia 
cuci otak
cuci tangan
cumbu rayu
cerdik pandai

daftar hitam
darah biru
darah daging
darah dingin
darah putih
darah tinggi
daya juang
daya tahan
daya tempur
debat kusir
dua sejoli
duka lara

emas hitam

gagah berani
gagal total
gelap gulita
gelap mata
gembira ria
gigit jari
gulung tikar
gunung berapi

hancur lebih
haus darah
hidung belang
hijau daun
hukum rimba
hutan belantara
hutan rimba

ibu bapak
ibu jari

jaga mulut
jago merah
jauh dekat 
jalan pintas
jam belajar
jam kerja
jam terbang
jeruji besi
jiwa besar
jual beli
jual mahal

kabar angin
kaki lima
kaki tangan
kamar kerja
kamar mandi
kamar tidur
kambing hitam
kampung halaman
kantor pos
kapal terbang
kapal udara
karib kerabat
kaum kerabat
kecil hati
kecil mungil
kelinci percobaan
keluar masuk
kepala batu
kepala dingin
kepala dua 
kepala udang
keras kepala
kucing air
kuli tinta
kuning langsat
kurus kering
kursi malas
kursi goyang
kutu buku
kutu loncat

lahir batin
lanjut usia
laba rugi
laki bini
lapang dada
lapangan hijau
lemah gemulai
lempar lembing
lebar mulut 
lepas tangan
lintah darat
luar dalam
lupa daratan
lupa diri

mabuk laut
macan ompong
main mata
main tangan
maju mundur
mandi keringat
mata keranjang
mata air
mata sapi
meja makan
meja belajar
meja hijau
muka dua
muka badak
muka dinding
muka tebal 
mulut besar
mulut harimau
mulut manis
murah hati

naik darah
naik daun
naik haji
naik pitam
naik tahta
naik turun

omong kosong
orang jauh
orang tua
otak udang

pahit getir
panas dingin
panca indera
pangku tangan
panjang tangan
panjang umur
pasang surut
pecah belah
pejabat tinggi
pelipur lara
penghisap darah
pengacara hitam
perang mulut
piring terbang
peti es
pukul rata
pulang pergi
putih mata
putih bersih

rawat inap
remuk redam
rendah hati
ringan tangan
rumah makan
rumah sakit
rumah tangga


sakit hati
saksi mata
sanak famili
sanak saudara
sapi perahan
sapta marga
sapu bersih 
sapu tangan
sapu rata
sebatang kara
serah terima
siang malam
siap tempur
silat lidah
simpan pinjam
simpang siur
sunyi senyap
surat kawat
surat kaleng


tahan banting
tanah air
tangan besi
tangan kanan
tanggung jawab
tatap muka
tebal hati 
tebas mentah
terang benderang
teman sejawat
temu alumni
temu karya
temu ilmiah
temu muka
temu wicara
terima kasih
terjun payung
timbul tenggelam
tinggi hati
tinggi rendah
timbang terima
tua muda
tukar guling
turun tangan
tutup mulut
tutup usia
turun tangan

unjuk gigi

yatim piatu
