mabuk laut
macan ompong
main mata
main tangan
maju mundur
mandi keringat
mata keranjang
mata air
mata sapi
meja makan
meja belajar
meja hijau
muka dua
muka badak
muka dinding
muka tebal 
mulut besar
mulut harimau
mulut manis
murah hati
naik darah
naik daun
naik haji
naik pitam
naik tahta
naik turun
omong kosong
orang jauh
orang tua
otak udang
pahit getir
panas dingin
panca indera
pangku tangan
panjang tangan
panjang umur
pasang surut
pecah belah
pejabat tinggi
pelipur lara
penghisap darah
pengacara hitam
perang mulut
piring terbang
peti es
pukul rata
pulang pergi
putih mata
putih bersih
rawat inap
remuk redam
rendah hati
ringan tangan
rumah makan
rumah sakit
rumah tangga
